å­¦ç±ç•ªå·,test
24A1001,55
24A1002,40
24A1003,55
24A1004,75
24A1005,35
24A1006,85
24A1007,90
24A1008,85
24A1009,100
24A1011,25
24A1012,85
24A1013,50
24A1014,30
24A1015,10
24A1016,45
24A1017,30
24A1018,65
24A1019,100
24A1020,40
24A1021,5
24A1022,85
24A1023,95
24A1024,20
24A1025,100
24A1026,20
24A1027,25
24A1028,60
24A1029,20
24A1030,45
24A1031,85
24A1032,60
24A1033,5
24A1034,40
24A1035,65
24A1036,10
24A1037,5
24A1038,55
24A1039,80
24A1040,45
24A1041,75
24A1042,65
24A1043,0
24A1044,30
24A1045,60
24A1046,30
24A1047,5
24A1048,95
24A1049,10
24A1050,95
24A1051,45
24A1052,85
24A1053,10
24A1054,70
24A1056,60
24A1057,90
24A1058,35
24A1059,75
24A1060,60
24A1061,55
24A1062,85
24A1063,25
24A1064,35
24A1065,25
24A1066,10
24A1067,50
24A1068,10
24A1069,100
24A1070,20
24A1071,55
24A1072,60
24A1073,70
24A1074,45
24A1075,60
24A1076,0
24A1077,55
24A1078,30
24A1079,10
24A1080,70
24A1081,0
24A1082,100
24A1083,90
24A1084,55
24A1085,10
24A1086,55
24A1087,85
24A1088,85
24A1089,20
24A1090,40
24A1091,60
24A1092,5
24A1093,55
24A1094,5
24A1095,100
24A1096,30
24A1097,5
24A1098,75
24A1099,85
24A1100,45
24A1101,95
24A1102,80
24A1103,20
24A1104,80
24A1105,0
24A1106,80
24A1107,95
24A1108,65
24A1109,60
24A1110,75
24A1111,45
24A1112,55
24A1113,0
24A1114,0
24A1115,35
24A1116,5
24A1117,15
24A1118,85
24A1119,65
24A1120,100
24A1121,45
24A1122,40
24A1123,10
24A1124,50
24A1125,55
24A1126,60
24A1127,45
24A1128,50
24A1129,5
24A1130,80
24A1131,100
24A1132,65
24A1133,75
24A1134,75
24A1135,30
24A1136,75
24A1137,0
24A1138,100
24A1139,10
24A1140,70
24A1141,65
24A1142,70
24A1143,95
24A1144,35
24A1145,5
24A1146,60
24A1147,80
24A1148,75
24A1149,65
24A1150,0
24A1151,40
24A1152,55
24A1153,70
24A1154,100
24A1155,40
24A1156,50
24A1157,45
24A1158,70
24A1159,0
24A1160,70
24A1161,65
24A1162,95
24A1163,20
24A1164,85
24A1165,60
24A1166,55
24A1167,35
24A1168,95
24A1169,25
24A2001,55
24A2002,40
24A2003,30
24A2004,65
24A2005,0
24A2006,0
24A2007,10
24A2008,40
24A2009,90
24A2010,15
24A2011,55
24A2012,35
24A2013,75
24A2014,25
24A2015,45
24A2016,40
24A2017,90
24A2018,55
24A2019,75
24A2020,45
24A2021,95
24A2022,85
24A2023,60
24A2024,30
24A2025,25
24A2026,20
24A2027,25
24A2028,30
24A2029,0
24A2030,80
24A2031,55
24A2032,35
24A2033,55
24A2034,95
24A2035,90
24A2036,30
24A2037,75
24A2038,40
24A2039,90
24A2040,35
24A2041,40
24A2042,70
24A2043,50
24A2044,5
24A2045,10
24A2046,50
24A2047,35
24A2048,90
24A2050,70
24A2051,0
24A2052,85
24A2053,15
24A2054,35
24A2055,10
24A2056,20
24A2057,15
24A2058,10
24A2059,80
24A2060,50
24A2061,25
24A2062,50
24A2063,75
24A2064,50
24A2065,0
24A2066,70
24A2067,40
24A2068,50
24A2069,50
24A2070,0
24A2071,45
24A2072,15
24A2073,5
24A2074,10
24A2075,85
24A2076,35
24A2077,0
24A2078,40
24A2079,60
24A2080,25
24A2081,70
24A2082,65
24A2083,20
24A2084,60
24A2085,55
24A2086,50
24A2087,50
24A2088,25
24A2089,50
24A2090,40
24A2091,90
24A2092,85
24A2093,45
24A2094,40
24A2095,100
24A2096,30
24A2097,45
24A2098,10
24A2099,60
24A2100,90
24A2101,65
24A2102,10
24A2103,35
24A2104,85
24A2105,10
24A2106,80
24A2107,5
24A2108,60
24A2109,100
24A2110,35
24A2111,75
24A2112,35
24A2113,0
24A2114,20
24A2115,90
24A2116,85
24A2117,95
24A2118,5
24A2119,0
24A2120,100
24A2121,60
24A2122,20
24A2123,90
24A2124,75
24A2125,100
24A2126,90
24A2127,5
24A2128,50
24A2129,45
24A2130,75
24A2131,95
24A3001,60
24A3002,0
24A3003,75
24A3004,85
24A3005,25
24A3006,60
24A3007,75
24A3008,50
24A3009,95
24A3010,95
24A3011,55
24A3012,55
24A3013,55
24A3014,25
24A3015,90
24A3016,10
24A3017,25
24A3018,5
24A3019,55
24A3020,90
24A3021,60
24A3022,15
24A3023,50
24A3024,0
24A3025,70
24A3026,80
24A3027,55
24A3028,65
24A3029,90
24A3030,55
24A3031,0
24A3032,0
24A3033,0
24A3034,75
24A3035,85
24A3036,0
24A3037,90
24A3038,55
24A3039,55
24A3040,65
24A3041,40
24A3042,75
24A3043,25
24A3044,70
24A3045,100
24A3046,55
24A3047,85
24A3048,95
24A3049,0
24A3050,35
24A3051,80
24A3052,75
24A3053,90
24A3054,25
24A3055,60
24A3056,60
24A3057,75
24A3058,45
24A3059,90
24A3060,45
24A3061,75
24A3062,95
24A3063,25
24A3064,70
24A3065,10
24A3066,90
24A3067,85
24A3068,25
24A3069,100
24A3070,10
24A3071,80
24A3072,15
24A3073,100
24A3074,70
24A3075,20
24A3076,25
24A3077,30
24A3078,45
24A3079,30
24A3080,30
24A3081,20
24A3082,50
24A3083,100
24A3084,60
24A3085,90
24A3086,95
24A3087,20
24A3088,95
24A3089,25
24A3090,45
24A3091,5
24A3092,40
24A3093,40
24A3094,65
24A3095,65
24A3096,15
24A3097,90
24A3098,100
24A3099,70
24A3100,55
24A3101,15
24A3102,0
24A3103,90
24A3104,25
24A3105,55
24A3106,15
24A3107,0
24A3108,25
24A3109,40
24A3110,85
24A3111,80
24A3112,70
24A3113,30
24A3114,45
24A3115,30
24A3116,20
24A3117,40
24A3118,15
24A3119,60
24A3120,60
24A3121,75
24A3122,15
24A3123,55
24A3124,80
24A3125,75
24A3126,95
24A3127,10
24A3128,55
24A3129,45
24A3130,75
24A3131,75
24A3132,60
24A3133,80
24A3134,20
24A3135,35
24A3136,65
24A3137,65
24A3138,60
24A3139,35
24A3140,30
24A3141,15
24A3142,30
24A3143,20
24A3144,65
24A4001,5
24A4002,15
24A4003,25
24A4004,15
24A4005,95
24A4006,30
24A4007,95
24A4008,30
24A4009,0
24A4010,65
24A4011,20
24A4012,55
24A4013,55
24A4014,70
24A4015,10
24A4016,50
24A4017,45
24A4018,25
24A4019,35
24A4020,80
24A4021,30
24A4022,40
24A4023,95
24A4024,40
24A4025,35
24A4026,35
24A4027,25
24A4028,100
24A4029,50
24A4030,70
24A4031,50
24A4032,95
24A4033,40
24A4034,35
24A4035,95
24A4036,95
24A4037,60
24A4038,20
24A4039,95
24A4040,100
24A4041,35
24A4042,65
24A4043,0
24A4044,65
24A4045,25
24A4046,80
24A4047,20
24A4048,90
24A4049,60
24A4050,35
24A4051,70
24A4052,70
24A4053,55
24A4054,40
24A4055,30
24A4056,65
24A4057,70
24A4058,85
24A4059,45
24A4060,90
24A4061,10
24A4062,35
24A4063,85
24A4064,70
24A4065,10
24A4066,60
24A4067,100
24A4068,90
24A4069,85
24A4070,0
24A4071,100
24A4072,65
24A4073,80
24A4074,10
24A4075,35
24A4077,30
24A4078,35
24A4079,30
24A4080,65
24A4081,55
24A4082,100
24A4083,55
24A4084,95
24A4085,0
24A4086,20
24A4087,90
24A4088,30
24A4089,0
24A4090,100
24A4091,15
24A4092,70
24A4093,60
24A4094,15
24A4095,70
24A4096,40
24A4097,50
24A4098,30
24A4099,55
24A4100,50
24A4101,35
24A4102,80
24A4103,25
24A4104,35
24A4105,90
24A4106,50
24A4107,20
24A4108,45
24A4109,75
24A4110,45
24A4112,10
24A4113,100
24A4114,45
24A4115,60
24A4116,80
24A4117,90
24A4118,40
24A4119,35
24A4120,30
24A4121,30
24A4122,10
24A4123,90
24A4124,10
24A4125,95
24A4126,85
24A4127,0
24A4128,70
24A4129,35
24A4130,95
24A4131,85
24A4132,0
24A4133,80
24A4134,45
24A4135,30
24A4136,15
24A4137,35
24A4138,70
24A4139,25
24A4140,0
24A4141,5
24A4142,90
24A4143,100
24A4144,20
24A4145,75
24A4146,35
24A4147,35
24A4148,30
24A4149,80
24A4150,80
24A4151,85
24A4152,35
24A4153,45
24A4154,10
24A4155,5
24A4156,35
24A4157,10
24A5001,90
24A5002,45
24A5003,15
24A5004,40
24A5005,50
24A5006,55
24A5007,5
24A5008,15
24A5009,95
24A5010,85
24A5011,35
24A5012,100
24A5013,75
24A5014,20
24A5015,10
24A5016,15
24A5017,20
24A5018,25
24A5019,90
24A5020,10
24A5021,65
24A5022,85
24A5023,95
24A5024,25
24A5025,25
24A5026,40
24A5027,85
24A5028,5
24A5029,5
24A5030,45
24A5031,0
24A5032,0
24A5033,20
24A5034,30
24A5035,80
24A5037,65
24A5038,65
24A5039,70
24A5040,85
24A5041,70
24A5042,60
24A5043,25
24A5044,65
24A5045,5
24A5046,0
24A5047,55
24A5048,85
24A5049,20
24A5050,70
24A5051,70
24A5052,40
24A5053,80
24A5054,60
24A5055,70
24A5056,45
24A5057,70
24A5058,0
24A5059,60
24A5060,60
24A5061,45
24A5062,40
24A5063,15
24A5064,50
24A5065,90
24A5066,35
24A5067,40
24A5068,10
24A5069,15
24A5070,50
24A5071,95
24A5072,0
24A5073,75
24A5074,25
24A5075,70
24A5076,45
24A5077,55
24A5078,5
24A5079,10
24A5080,35
24A5081,75
24A5082,60
24A5083,10
24A5084,55
24A5085,25
24A5086,70
24A5087,5
24A5088,15
24A5089,40
24A5090,40
24A5091,60
24A5092,20
24A5093,100
24A5094,50
24A5095,100
24A5096,5
24A5097,80
24A5098,100
24A5099,100
24A5100,100
24A5101,0
24A5102,75
24A5103,20
24A5104,70
24A5105,15
24A5106,45
24A5107,0
24A5108,50
24A5109,15
24A5110,0
24A5111,5
24A5112,30
24A5113,70
24A5114,45
24A5115,30
24A5116,45
24A5117,65
24A5118,95
24A5119,85
24A5120,45
24A5121,100
24A5122,0
24A5123,45
24A5124,65
24A5125,75
24A5126,5
24A5127,40
24A5128,25
24A6001,40
24A6002,5
24A6003,50
24A6004,60
24A6005,30
24A6006,15
24A6007,55
24A6008,45
24A6009,35
24A6010,60
24A6011,10
24A6012,100
24A6013,45
24A6014,70
24A6015,50
24A6016,20
24A6017,45
24A6018,90
24A6019,10
24A6020,25
24A6021,50
24A6022,55
24A6023,30
24A6024,90
24A6025,95
24A6026,95
24A6027,75
24A6028,70
24A6029,60
24A6030,50
24A6031,65
24A6032,85
24A6033,35
24A6034,30
24A6035,95
24A6036,50
24A6037,55
24A6038,10
24A6039,85
24A6040,60
24A6041,70
24A6042,40
24A6043,95
24A6044,90
24A6045,60
24A6046,10
24A6047,65
24A6048,80
24A6049,10
24A6050,45
24A6051,70
24A6052,65
24A6053,100
24A6054,55
24A6055,20
24A6056,55
24A6057,20
24A6059,55
24A6060,15
24A6061,70
24A6062,75
24A6063,50
24A6064,35
24A6065,30
24A6066,20
24A6067,55
24A6068,5
24A6069,35
24A6070,40
24A6071,15
24A6072,10
24A6073,65
24A6074,55
24A6075,70
24A6076,70
24A6077,50
24A6078,75
24A6079,60
24A6080,30
24A6081,50
24A6082,5
24A6083,10
24A6084,100
24A6085,20
24A6086,45
24A6087,65
24A6088,90
24A6089,40
24A6090,30
24A6091,5
24A6092,45
24A6093,90
24A6094,0
24A6095,35
24A6096,65
24A6097,80
24A6098,40
24A6099,30
24A6100,50
24A6101,40
24A6102,85
24A6103,0
24A6104,85
24A6105,70
24A6106,80
24A6107,70
24A6108,40
24A6109,20
24A6110,15
24A6111,80
24A6112,0
24A6113,25
24A6114,75
24A6115,45
24A6116,90
24A6117,35
24A6118,40
24A6119,35
24A6120,60
24A6121,5
24A6122,10
24A6123,70
24A6124,100
24A6125,65
24A6126,45
24A6127,60
24A6128,100
24B1001,85
24B1002,5
24B1003,20
24B1004,60
24B1005,30
24B1006,5
24B1007,40
24B1008,100
24B1009,35
24B1010,40
24B1011,40
24B1012,50
24B1013,50
24B1014,75
24B1015,90
24B1016,25
24B1017,15
24B1018,85
24B1019,40
24B1020,30
24B1021,65
24B1022,80
24B1023,80
24B1024,45
24B1025,35
24B1026,95
24B1027,55
24B1028,75
24B1029,85
24B1030,15
24B1031,75
24B1032,45
24B1033,15
24B1034,0
24B1035,65
24B1036,25
24B1037,80
24B1038,70
24B1039,55
24B1040,75
24B1041,15
24B1042,65
24B1043,30
24B1044,55
24B1045,0
24B1046,90
24B1047,45
24B1048,35
24B1049,80
24B1050,0
24B1051,40
24B1052,5
24B1053,30
24B1054,40
24B1055,80
24B1056,70
24B1057,60
24B1058,55
24B1059,25
24B1060,75
24B1061,30
24B1062,15
24B1063,25
24B1064,80
24B1065,85
24B1066,60
24B1067,50
24B1068,75
24B1069,90
24B1070,25
24B1071,0
24B1072,100
24B1073,100
24B1074,80
24B1075,15
24B1076,90
24B1077,15
24B1078,75
24B1079,95
24B1080,10
24B1081,80
24B1082,55
24B1083,75
24B1084,20
24B1085,95
24B1086,30
24B1087,25
24B1089,0
24B1090,80
24B1091,5
24B1092,80
24B1093,45
24B1094,85
24B1095,80
24B1096,15
24B1097,10
24B1098,20
24B1099,25
24B1100,65
24B1101,35
24B1102,45
24B1103,45
24B1104,70
24B1105,20
24B1106,30
24B1107,70
24B1108,55
24B1109,65
24B1110,100
24B1111,5
24B1112,15
24B1113,95
24B1114,90
24B1115,65
24B1116,60
24B1117,90
24B1118,50
24B1119,10
24B1120,85
24B1121,0
24B1122,50
24B1123,15
24B1124,40
24B1125,100
24B1126,35
24B1127,15
24B1128,25
24B1129,35
24B1130,80
24B1131,90
24B1132,75
24B1133,5
24B1134,85
24B1135,100
24B1136,75
24B1137,30
24B1138,95
24B1139,100
24B1140,70
24B1141,20
24B1142,0
24B1143,5
24B1144,0
24B1145,35
24B1146,10
24B1147,100
24B1148,85
24B1149,100
24B1150,0
24B1151,80
24B1152,95
24B1153,35
24B1154,45
24B1155,85
24B1156,75
24B1157,45
24B1158,60
24B1159,45
24B1160,0
24B1161,90
24B1162,100
24B1163,45
24B1164,65
24B1165,5
24B2001,45
24B2002,30
24B2003,100
24B2004,50
24B2005,80
24B2006,10
24B2007,0
24B2008,0
24B2009,75
24B2010,80
24B2011,100
24B2012,0
24B2013,30
24B2014,85
24B2015,55
24B2016,25
24B2017,75
24B2018,85
24B2019,65
24B2020,30
24B2021,100
24B2022,70
24B2023,90
24B2024,40
24B2025,0
24B2026,95
24B2027,25
24B2028,90
24B2029,85
24B2030,70
24B2031,90
24B2032,85
24B2033,75
24B2034,25
24B2035,20
24B2036,5
24B2037,35
24B2038,80
24B2039,30
24B2040,100
24B2041,30
24B2042,35
24B2043,65
24B2044,5
24B2045,50
24B2046,90
24B2047,5
24B2048,70
24B2049,70
24B2050,0
24B2051,55
24B2052,45
24B2053,30
24B2054,85
24B2055,10
24B2056,5
24B2057,55
24B2058,65
24B2059,90
24B2060,100
24B2061,40
24B2062,85
24B2063,90
24B2064,60
24B2065,80
24B2066,85
24B2067,0
24B2068,60
24B2069,70
24B2070,85
24B2072,50
24B2073,75
24B2074,75
24B2075,100
24B2076,65
24B2077,45
24B2078,55
24B2079,55
24B2080,75
24B2081,55
24B2082,10
24B2083,25
24B2084,0
24B2085,5
24B2086,70
24B2087,30
24B2088,30
24B2090,90
24B2091,30
24B2092,80
24B2093,5
24B2094,35
24B2095,25
24B2096,65
24B2097,60
24B2098,30
24B2099,45
24B2100,90
24B2101,85
24B2102,35
24B2103,75
24B2104,60
24B2105,15
24B2106,85
24B2107,5
24B2108,70
24B2109,45
24B2110,95
24B2111,35
24B2112,90
24B2113,5
24B2114,25
24B2115,30
24B2116,50
24B2117,40
24B2118,25
24B2119,20
24B3001,50
24B3002,50
24B3003,75
24B3004,35
24B3005,50
24B3006,95
24B3007,85
24B3008,15
24B3009,40
24B3010,45
24B3011,80
24B3012,100
24B3013,100
24B3014,100
24B3015,90
24B3016,40
24B3017,65
24B3018,55
24B3019,60
24B3020,5
24B3021,75
24B3022,60
24B3023,20
24B3024,55
24B3025,100
24B3026,90
24B3027,30
24B3028,95
24B3029,65
24B3030,50
24B3031,40
24B3032,35
24B3033,45
24B3034,75
24B3035,45
24B3037,45
24B3038,10
24B3039,35
24B3040,5
24B3041,15
24B3042,40
24B3043,45
24B3044,0
24B3045,30
24B3046,80
24B3047,40
24B3048,65
24B3049,90
24B3050,40
24B3051,95
24B3052,80
24B3053,95
24B3054,60
24B3055,50
24B3056,85
24B3057,90
24B3058,55
24B3059,60
24B3060,30
24B3061,40
24B3062,90
24B3063,35
24B3064,75
24B3065,100
24B3066,100
24B3067,80
24B3068,5
24B3069,85
24B3070,60
24B3071,50
24B3072,90
24B3073,50
24B3074,40
24B3075,35
24B3076,60
24B3077,5
24B3078,20
24B3079,30
24B3080,15
24B3081,45
24B3082,15
24B3083,85
24B3084,15
24B3085,50
24B3086,25
24B3087,45
24B3088,10
24B3089,55
24B3090,15
24B3091,85
24B3092,55
24B3093,15
24B3094,45
24B3095,90
24B3096,15
24B3097,70
24B3098,45
24B3099,35
24B3100,35
24B3101,35
24B3102,95
24B3103,90
24B3104,45
24B3105,100
24B3106,90
24B3107,45
24B3108,25
24B3109,80
24B3110,90
24B3111,50
24B3112,95
24B3113,65
24B3114,65
24B3115,5
24B3116,95
24B3117,65
24B3118,25
24B3119,95
24B3120,65
24B3121,45
24B3122,5
24B3123,35
24B3124,10
24B3125,90
24B3126,55
24B3127,5
24B3128,90
24B3129,65
24B3130,25
24B3131,75
24B3132,15
24B3133,30
24B3134,35
24B3135,65
24C1001,90
24C1002,50
24C1003,100
24C1004,85
24C1005,30
24C1006,100
24C1007,65
24C1008,10
24C1009,5
24C1010,45
24C1011,20
24C1012,30
24C1013,80
24C1014,10
24C1015,10
24C1016,30
24C1017,90
24C1018,5
24C1019,60
24C1020,25
24C1021,60
24C1022,10
24C1023,75
24C1024,20
24C1025,60
24C1026,60
24C1027,70
24C1028,65
24C1029,100
24C1030,75
24C1031,85
24C1032,15
24C1033,95
24C1034,60
24C1035,60
24C1036,90
24C1037,35
24C1038,0
24C1039,75
24C1040,55
24C1041,100
24C1042,75
24C1043,40
24C1044,10
24C1045,75
24C1046,75
24C1047,75
24C1048,100
24C1049,65
24C1050,80
24C1051,60
24C1052,25
24C1053,50
24C1054,0
24C1055,0
24C1056,75
24C1058,40
24C1059,20
24C1060,0
24C1061,10
24C1062,25
24C1063,10
24C1064,5
24C1065,90
24C1066,45
24C1067,0
24C1068,50
24C1069,75
24C1070,100
24C1071,10
24C1072,25
24C1073,30
24C1074,65
24C1075,25
24C1077,90
24C1078,5
24C1079,90
24C1080,55
24C1081,60
24C1082,20
24C1083,100
24C1084,10
24C1085,60
24C1086,15
24C1087,0
24C1088,5
24C1089,20
24C1090,65
24C1091,45
24C1092,40
24C1093,100
24C1094,80
24C1095,75
24C1096,30
24C1097,10
24C1098,75
24C1099,5
24C1100,85
24C1101,100
24C1102,30
24C1103,70
24C1104,15
24C1105,85
24C1106,15
24C1107,15
24C1108,0
24C1109,35
24C1110,35
24C1111,100
24C1112,85
24C1113,90
24C1114,70
24C1115,65
24C1116,0
24C1117,40
24C1118,70
24C1119,35
24C1120,15
24C1121,35
24C1122,50
24C1123,50
24C1124,95
24C1125,65
24C1126,5
24C1127,45
24C1128,80
24C1130,5
24C1131,90
24C1132,10
24C1133,20
24C1134,0
24C1135,60
24C1136,10
24C1137,85
24C1138,30
24C1139,15
24C1140,60
24C1141,50
24C3001,30
24C3002,95
24C3003,10
24C3004,80
24C3005,35
24C3006,25
24C3007,40
24C3008,100
24C3009,85
24C3010,20
24C3011,40
24C3012,70
24C3013,70
24C3014,5
24C3015,65
24C3016,95
24C3018,35
24C3019,85
24C3020,10
24C3021,35
24C3022,30
24C3023,50
24C3024,85
24C3025,10
24C3026,95
24C3027,60
24C3028,35
24C3029,60
24C3030,90
24C3031,0
24C3032,35
24C3033,25
24C3034,35
24C3035,45
24C3036,5
24C3037,75
24C3038,40
24C3039,30
24C3040,45
24C3041,40
24C3042,90
24C3043,35
24C3044,60
24C3045,0
24C3046,80
24C3047,35
24C3048,75
24C3049,15
24C3050,80
24C3051,85
24C3052,40
24C3053,5
24C3054,40
24C3055,5
24C3056,85
24C3057,70
24C3058,65
24C3059,20
24C3060,75
24C3061,70
24C3062,75
24C3063,45
24C3064,0
24C3065,0
24C3066,20
24C3067,85
24C3068,90
24C3069,55
24C3070,80
24C3071,55
24C3072,55
24C3073,85
24C3074,70
24C3075,40
24C3076,60
24C3077,35
24C3078,85
24C3079,25
24C3080,15
24C3081,20
24C3082,70
24C3083,60
24C3084,80
24C3085,100
24C3086,5
24C3087,45
24C3088,20
24C3089,90
24C3090,45
24C3091,60
24C3092,0
24C3093,40
24C3094,20
24C3095,10
24C3096,15
24C3097,95
24C3098,25
24C3099,55
24C3100,90
24C3101,5
24C3102,70
24C3103,10
24C3104,15
24C3105,90
24C3106,20
24C3107,90
24C3108,0
24C3109,10
24C3110,50
24C3111,15
24C3112,0
24C3113,50
24C3114,100
24C3115,25
24C3116,90
24C3117,90
24C3118,15
24C3119,90
24C3120,5
24C3121,55
24C3122,50
24C3123,70
24C3124,95
24C3125,90
24C3126,15
24C3127,70
24C3128,80
24C3129,10
24C3130,35
2431001,60
2431002,55
2431003,75
2431004,30
2431005,80
2431006,85
2431007,50
2431008,70
2431009,100
2431010,15
2431011,75
2431012,70
2431013,45
2431014,100
2431015,10
2431016,95
2431017,15
2431018,5
2431019,5
2431020,10
2431021,45
2431022,5
2431023,60
2431024,0
2431025,75
2431026,25
2431027,15
2431028,50
2431029,25
2431030,45
2431031,20
2431032,75
2431033,100
2431034,10
2431035,95
2431036,80
2431037,80
2431038,95
2431039,15
2431040,30
2431041,70
2431042,80
2431043,25
2431044,65
2431045,40
2431046,50
2431047,50
2431048,95
2431049,70
2431050,80
2431051,85
2431052,40
2431053,40
2431054,15
2431055,25
2431056,50
2431057,50
2431058,40
2431059,15
2431060,55
2431061,0
2431062,30
2431063,5
2431064,100
2431065,95
2431066,75
2431067,30
2431068,35
2431069,100
2431070,100
2431071,75
2431072,35
2431073,60
2431074,90
2431075,25
2431076,65
2431077,5
2431078,0
2431079,0
2431080,45
2431081,30
2431082,30
2431083,90
2431084,10
2431085,95
2431086,30
2431087,15
2431088,35
2431089,5
2431090,90
2431091,80
2431092,60
2431093,90
2431094,90
2431095,55
2431096,55
2431097,35
2431098,95
2431099,55
2431100,25
2431101,35
2431102,0
2431103,35
2431104,30
2431105,50
2431106,75
2431107,5
2431108,20
2431109,60
2431110,70
2431111,75
2431112,30
2431113,75
2431114,80
2431115,20
2431116,45
2431117,20
2431118,55
2431119,55
2431120,100
2431121,45
2431122,35
2431123,15
2431124,65
2431125,10
2431126,30
2431127,45
2431128,80
2431129,80
2431130,40
2431131,55
2431132,90
2431133,60
2431134,20
2431135,100
2431136,40
2431137,40
2431138,90
2431139,40
2431140,35
2431141,20
2431142,25
2431143,75
2431144,20
2431145,5
2431146,40
2431147,55
2431148,80
2431149,10
2431150,95
2431151,20
2431152,10
2431153,55
2431154,65
2431155,100
2431156,25
2431157,90
2431158,20
2431159,65
2431160,40
2431161,35
2431162,85
2431163,75
2431164,25
2431165,15
2431166,80
2431167,35
2431168,50
2432001,20
2432002,75
2432003,5
2432004,80
2432005,40
2432006,85
2432007,100
2432008,10
2432009,40
2432010,40
2432011,80
2432012,0
2432013,20
2432014,75
2432015,90
2432016,75
2432017,75
2432018,5
2432019,100
2432020,60
2432021,10
2432022,45
2432023,35
2432024,10
2432025,15
2432026,40
2432027,95
2432028,90
2432029,40
2432030,95
2432031,90
2432032,10
2432033,25
2432034,75
2432035,40
2432036,60
2432037,20
2432038,40
2432039,70
2432040,85
2432041,70
2432042,0
2432043,55
2432044,70
2432045,15
2432046,30
2432047,35
2432048,20
2432049,10
2432050,75
2432051,40
2432052,70
2432053,20
2432054,80
2432055,20
2432056,10
2432057,90
2432058,30
2432059,90
2432060,85
2432061,65
2432062,40
2432063,95
2432065,75
2432066,65
2432067,50
2432068,60
2432069,45
2432070,50
2432071,85
2432072,10
2432073,95
2432074,60
2432075,50
2432076,45
2432077,10
2432078,0
2432079,35
2432080,90
2432081,40
2432082,50
2432083,100
2432084,60
2432085,25
2432086,75
2432087,55
2432088,100
2432089,5
2432090,80
2432091,20
2432092,85
2432093,0
2432094,75
2432095,25
2432096,30
2432097,80
2432098,100
2432099,10
2432100,20
2432101,20
2432102,15
2432103,90
2432104,55
2432105,90
2432106,50
2432107,30
2432108,75
2432109,95
2432110,65
2432111,45
2432112,65
2432113,95
2432114,35
2432115,100
2432116,70
2432117,20
2432118,50
2432119,90
2432120,70
2432121,80
2432122,90
2432123,25
2432124,100
2432125,60
2432126,65
2432127,60
2432128,90
2432129,10
2432130,75
2432131,55
2432132,5
2432133,20
2432134,85
2432135,95
2432136,15
2432137,60
2432138,70
2432139,70
2432140,15
2432141,25
2432142,100
2432143,15
2432144,20
2432145,5
2432146,100
2432147,75
2432148,25
2432149,60
2432150,35
2432151,80
2432152,65
2432153,20
2432154,60
2432155,90
2432156,55
2432157,10
2432158,5
2432159,85
2432160,55
2432161,80
2432162,45